174,85,365,97,363,137,172,125
376,100,521,106,519,141,374,134
538,111,601,111,601,147,538,147
619,114,679,114,679,144,619,144
234,129,285,129,285,159,234,159
300,132,339,132,339,165,300,165
351,135,438,135,438,168,351,168
451,138,554,142,553,175,450,171
568,147,610,147,610,180,568,180
225,160,331,165,330,196,224,191
342,167,431,171,429,202,341,198
445,169,522,176,519,208,442,201
541,177,628,177,628,207,541,207
192,188,281,194,279,228,190,222
291,195,431,203,429,235,290,227
441,207,471,207,471,234,441,234
471,207,502,207,502,237,471,237
523,206,659,211,658,245,522,240
258,228,312,228,312,258,258,258
324,234,363,234,363,261,324,261
412,230,590,241,588,275,410,264
246,261,303,261,303,291,246,291
315,264,360,264,360,294,315,294
396,267,601,271,601,305,396,300
150,284,338,295,336,329,148,318
348,297,420,297,420,327,348,327
430,298,501,304,498,336,427,330
496,303,535,303,535,333,496,333
547,306,616,306,616,339,547,339
628,309,700,309,700,339,628,339
312,363,372,363,372,396,312,396
396,363,536,368,534,403,395,398
78,401,149,407,146,438,75,432
228,409,352,414,351,446,227,441
165,417,213,417,213,441,165,441
462,420,529,420,529,450,462,450
544,423,592,423,592,453,544,453
607,426,745,426,745,456,607,456
78,438,132,438,132,468,78,468
228,444,333,444,333,477,228,477
459,453,547,453,547,484,459,484
78,468,144,468,144,502,78,502
159,476,236,482,233,511,157,504
276,481,330,481,330,511,276,511
330,481,447,481,447,514,330,514
78,502,144,502,144,535,78,535
159,507,250,512,249,543,157,537
276,509,448,513,447,547,275,544
459,517,511,517,511,547,459,547
511,520,598,520,598,550,511,550
607,523,646,523,646,553,607,553
75,566,149,572,146,603,72,597
276,577,330,577,330,604,276,604
342,580,426,580,426,610,342,610
75,601,147,601,147,634,75,634
276,610,348,610,348,640,276,640
75,633,196,637,195,671,74,667
72,733,126,733,126,766,72,766
141,736,180,736,180,766,141,766
69,835,192,835,192,865,69,865
697,850,736,850,736,880,697,880
72,868,111,868,111,898,72,898
120,871,207,871,207,901,120,901
219,871,291,871,291,901,219,901
303,874,375,874,375,901,303,901
171,901,210,901,210,931,171,931
138,907,159,907,159,925,138,925
252,904,285,904,285,934,252,934
285,904,324,904,324,934,285,934
336,907,387,907,387,934,336,934
468,907,502,907,502,937,468,937
502,906,608,910,606,942,501,937
664,913,694,913,694,943,664,943
694,913,733,913,733,940,694,940
69,931,189,931,189,965,69,965
697,946,733,946,733,974,697,974
69,968,138,968,138,995,69,995
153,968,189,968,189,998,153,998
204,968,240,968,240,998,204,998
252,968,291,968,291,998,252,998
300,971,357,971,357,1001,300,1001
369,971,456,971,456,1004,369,1004
468,974,556,974,556,1004,468,1004
72,1004,90,1004,90,1031,72,1031
168,1001,210,1001,210,1031,168,1031
237,1001,279,1001,279,1031,237,1031
138,1007,159,1007,159,1025,138,1025
285,1004,321,1004,321,1034,285,1034
336,1004,387,1004,387,1034,336,1034
468,1007,493,1007,493,1037,468,1037
502,1007,550,1007,550,1037,502,1037
547,1007,604,1007,604,1037,547,1037
646,1010,685,1010,685,1040,646,1040
694,1010,730,1010,730,1040,694,1040
66,1067,120,1067,120,1094,66,1094
135,1067,219,1067,219,1097,135,1097
565,1073,604,1073,604,1169,565,1169
646,1073,685,1073,685,1103,646,1103
694,1076,730,1076,730,1103,694,1103
66,1097,138,1097,138,1127,66,1127
